epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5406,1.43947,2.46033,1.47416,1.4653,0,0.62755,0.63455,0.70402,0.40221,0.46497,0.45236,0.44056,0.16577,1.53054,6.66224,1.69382,1.49981,0,0.000330275,0.000330275,0.0673028
2,112.432,1.14673,1.8822,0.65811,1.24263,0,0.82208,0.82331,0.88899,0.52482,0.79804,0.79679,0.84664,0.4211,1.34982,2.60048,0.9677,1.41614,0,0.000662952,0.000662952,0.0343021
3,156.029,1.09072,1.78153,0.60475,1.21979,0,0.8711,0.86978,0.92691,0.60072,0.85601,0.85255,0.89926,0.47281,1.29453,2.42698,0.85273,1.34048,0,0.000994968,0.000994968,0.00130078
4,200.196,1.08223,1.75155,0.57641,1.21488,0,0.92367,0.91577,0.95776,0.61024,0.91158,0.90526,0.93511,0.51243,1.3015,2.07952,0.69258,1.33291,0,0.00099703,0.00099703,0.00099703
5,243.117,1.05322,1.70527,0.54381,1.20133,0,0.93406,0.8546,0.933,0.59108,0.90643,0.82662,0.88481,0.46405,1.35786,2.38194,0.79189,1.35999,0,0.00099604,0.00099604,0.00099604
6,285.163,1.0557,1.70292,0.52927,1.20107,0,0.94365,0.94517,0.97244,0.66347,0.92836,0.9266,0.94615,0.55033,1.17993,2.04273,0.60355,1.25923,0,0.00099505,0.00099505,0.00099505
7,327.717,1.01765,1.64795,0.51057,1.18342,0,0.93518,0.90214,0.95863,0.65249,0.92216,0.88067,0.92859,0.52763,1.1869,2.13444,0.65529,1.2678,0,0.00099406,0.00099406,0.00099406
8,369.693,1.0158,1.63677,0.50247,1.18473,0,0.95482,0.94404,0.97482,0.67406,0.93861,0.9279,0.95088,0.54427,1.14702,2.02103,0.58254,1.26129,0,0.00099307,0.00099307,0.00099307
9,412.185,1.01057,1.62775,0.49704,1.17775,0,0.96251,0.96315,0.98353,0.7005,0.94774,0.94329,0.95825,0.5673,1.09631,1.93334,0.52974,1.22729,0,0.00099208,0.00099208,0.00099208
10,454.804,0.98628,1.60783,0.48276,1.16906,0,0.95718,0.96027,0.97898,0.68867,0.94299,0.94396,0.95493,0.55886,1.11594,1.92244,0.54479,1.24503,0,0.00099109,0.00099109,0.00099109
11,496.63,0.97216,1.58604,0.47099,1.15612,0,0.96244,0.94762,0.98172,0.68335,0.94216,0.92644,0.95291,0.54616,1.14256,2.03898,0.55046,1.25413,0,0.0009901,0.0009901,0.0009901
12,538.524,0.97079,1.57032,0.46752,1.15836,0,0.96431,0.96637,0.98388,0.68541,0.9495,0.94716,0.95893,0.55367,1.13984,1.98175,0.53075,1.24766,0,0.00098911,0.00098911,0.00098911
13,580.319,0.95551,1.54789,0.45949,1.14994,0,0.96263,0.96306,0.98393,0.71108,0.94602,0.94389,0.95891,0.57696,1.07129,1.91439,0.51482,1.21815,0,0.00098812,0.00098812,0.00098812
14,622.756,0.94573,1.55817,0.45081,1.14993,0,0.95836,0.96113,0.98091,0.7066,0.94537,0.94642,0.96279,0.58218,1.08611,1.88464,0.51933,1.22968,0,0.00098713,0.00098713,0.00098713
15,665.537,0.93492,1.52992,0.44566,1.13994,0,0.96214,0.96468,0.98352,0.70687,0.94601,0.94712,0.96071,0.56847,1.08693,1.92645,0.53036,1.22086,0,0.00098614,0.00098614,0.00098614
16,709.385,0.93031,1.5192,0.44181,1.13871,0,0.9644,0.96587,0.9833,0.69971,0.94927,0.94764,0.96073,0.56664,1.11081,1.96011,0.51752,1.23235,0,0.00098515,0.00098515,0.00098515
17,751.469,0.92533,1.51699,0.43929,1.1321,0,0.96712,0.96753,0.98366,0.71858,0.94836,0.94801,0.95809,0.58187,1.0484,1.88843,0.49865,1.21091,0,0.00098416,0.00098416,0.00098416
18,794.204,0.91608,1.4964,0.43422,1.12681,0,0.96383,0.96512,0.9841,0.721,0.94829,0.94719,0.96255,0.58779,1.03956,1.86155,0.51068,1.21181,0,0.00098317,0.00098317,0.00098317
19,838.212,0.90199,1.47824,0.42523,1.12064,0,0.96669,0.97505,0.98531,0.719,0.94887,0.95229,0.96093,0.58447,1.06672,1.91434,0.48465,1.21524,0,0.00098218,0.00098218,0.00098218
20,881.777,0.91043,1.47631,0.42407,1.12925,0,0.96271,0.9261,0.97049,0.65338,0.93162,0.89449,0.9269,0.49869,1.22021,2.2919,0.59257,1.30463,0,0.00098119,0.00098119,0.00098119
21,923.916,0.9149,1.49362,0.42135,1.13497,0,0.97262,0.97472,0.98658,0.72643,0.95662,0.95781,0.96565,0.60044,1.04914,1.86276,0.47533,1.21233,0,0.0009802,0.0009802,0.0009802
22,966.571,0.89252,1.45632,0.41216,1.11178,0,0.91585,0.9744,0.92877,0.68409,0.89958,0.9569,0.90827,0.56171,1.03575,1.84774,inf,1.20241,0,0.00097921,0.00097921,0.00097921
23,1011.64,0.88561,1.45507,0.4083,1.10566,0,0.96768,0.97299,0.98356,0.71491,0.95128,0.95556,0.96131,0.59516,1.08743,1.87347,0.48879,1.2294,0,0.00097822,0.00097822,0.00097822
24,1053.35,0.87961,1.42656,0.40072,1.10225,0,0.96669,0.97477,0.98722,0.72826,0.94533,0.95116,0.95707,0.59035,1.04769,1.88674,0.4732,1.20836,0,0.00097723,0.00097723,0.00097723
25,1095.04,0.87014,1.41688,0.3986,1.09779,0,0.9723,0.96894,0.98707,0.72328,0.95639,0.95092,0.96635,0.5941,1.0553,1.83795,0.47299,1.20912,0,0.00097624,0.00097624,0.00097624
26,1136.73,0.86156,1.41229,0.39706,1.09528,0,0.97236,0.97565,0.986,0.72709,0.96178,0.96154,0.96935,0.60919,1.05356,1.82769,0.45957,1.19865,0,0.00097525,0.00097525,0.00097525
27,1179.03,0.87085,1.43736,0.40673,1.10174,0,0.96461,0.97273,0.98711,0.72985,0.95063,0.95426,0.96889,0.60944,1.05852,1.86385,0.47451,1.21567,0,0.00097426,0.00097426,0.00097426
28,1225.19,0.87159,1.45158,0.40075,1.09985,0,0.88557,0.97468,0.89424,0.66387,0.87551,0.95945,0.88006,0.55087,1.02889,1.85137,inf,1.21374,0,0.00097327,0.00097327,0.00097327
29,1267.74,0.85534,1.39072,0.39022,1.08615,0,0.97533,0.982,0.9887,0.73784,0.96154,0.96493,0.96938,0.61004,1.03672,1.85127,0.453,1.19782,0,0.00097228,0.00097228,0.00097228
30,1310.03,0.83421,1.37246,0.38012,1.07672,0,0.9758,0.97646,0.98764,0.7415,0.96475,0.96256,0.97228,0.61579,1.00765,1.77556,0.44296,1.19366,0,0.00097129,0.00097129,0.00097129
31,1352.75,0.8305,1.36834,0.37902,1.07296,0,0.97479,0.98058,0.98792,0.72173,0.95892,0.96243,0.96741,0.59136,1.05946,1.90038,0.45511,1.21415,0,0.0009703,0.0009703,0.0009703
32,1394.39,0.82647,1.35952,0.3767,1.07453,0,0.96962,0.97859,0.98504,0.73103,0.95891,0.96617,0.96967,0.60808,1.02904,1.82895,0.46092,1.21775,0,0.00096931,0.00096931,0.00096931
33,1441.49,0.80815,1.33793,0.37412,1.06328,0,0.93442,0.87658,0.94817,0.6212,0.91153,0.84104,0.90162,0.47273,1.29443,2.4686,0.69157,1.32495,0,0.00096832,0.00096832,0.00096832
34,1483.44,0.81263,1.33814,0.37877,1.07083,0,0.97985,0.98047,0.98856,0.74883,0.96846,0.96895,0.97529,0.62109,0.98456,1.76955,0.4363,1.18288,0,0.00096733,0.00096733,0.00096733
35,1526.28,0.7966,1.32392,0.36601,1.05659,0,0.97914,0.98257,0.98899,0.75395,0.96166,0.96193,0.96577,0.62097,0.99521,1.80579,0.42938,1.20203,0,0.00096634,0.00096634,0.00096634
36,1569.3,0.79747,1.3113,0.36484,1.06022,0,0.98034,0.98259,0.98947,0.75406,0.96975,0.97159,0.97664,0.64443,0.98421,1.72716,0.42385,1.17738,0,0.00096535,0.00096535,0.00096535
37,1613.03,0.78831,1.3112,0.36057,1.04684,0,0.9788,0.97822,0.98755,0.74398,0.9662,0.96531,0.97223,0.61553,1.00876,1.82895,0.43744,1.20533,0,0.00096436,0.00096436,0.00096436
38,1655.07,0.77776,1.28833,0.35923,1.04153,0,0.97762,0.979,0.98805,0.74878,0.96599,0.96712,0.97362,0.63274,0.98883,1.76516,0.43257,1.19191,0,0.00096337,0.00096337,0.00096337
39,1696.71,0.78112,1.29288,0.3622,1.04603,0,0.97904,0.9814,0.98912,0.7412,0.96688,0.96833,0.97351,0.61585,1.00741,1.81251,0.43478,1.19373,0,0.00096238,0.00096238,0.00096238
40,1738.26,0.7554,1.25967,0.35363,1.02458,0,0.97811,0.97885,0.98731,0.75558,0.9672,0.96783,0.97319,0.63981,0.97643,1.75752,0.42522,1.19151,0,0.00096139,0.00096139,0.00096139
