epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,67.455,0.26951,0.50144,0.17667,0.78816,0,0.98582,0.9867,0.98952,0.84182,0.97856,0.97952,0.98101,0.73457,0.65927,2.04374,0.30594,1.23732,0,0.000330275,0.000330275,0.0673028
2,110.609,0.22948,0.44295,0.15608,0.78,0,0.98576,0.98835,0.99022,0.85784,0.9782,0.9805,0.98217,0.74992,0.61366,2.04243,0.28447,1.22466,0,0.000661575,0.000661575,0.0343007
3,153.377,0.22218,0.42559,0.1534,0.77503,0,0.98616,0.9888,0.99014,0.85864,0.97833,0.98096,0.98213,0.75035,0.60986,2.12187,0.28194,1.22374,0,0.000990831,0.000990831,0.00129664
4,195.736,0.23191,0.45344,0.1567,0.77855,0,0.98537,0.98893,0.98991,0.8554,0.97855,0.98127,0.98228,0.75315,0.6236,1.9752,0.2879,1.21305,0,0.000990805,0.000990805,0.000990805
5,237.235,0.23763,0.45767,0.16012,0.77963,0,0.98532,0.98756,0.98963,0.85341,0.9775,0.97966,0.98145,0.74614,0.63435,2.01875,0.29184,1.2208,0,0.00098774,0.00098774,0.00098774
6,278.713,0.24857,0.46992,0.16364,0.78168,0,0.98583,0.98884,0.98991,0.85074,0.97773,0.98079,0.98181,0.74233,0.64025,2.03999,0.29584,1.2231,0,0.000984675,0.000984675,0.000984675
7,320.229,0.24297,0.46103,0.16065,0.78051,0,0.98653,0.98803,0.98952,0.85517,0.97961,0.98082,0.98189,0.75138,0.62201,2.00634,0.28938,1.2098,0,0.00098161,0.00098161,0.00098161
8,361.632,0.23591,0.45291,0.15842,0.77916,0,0.98614,0.98896,0.99047,0.85515,0.97794,0.98063,0.9824,0.74751,0.62651,1.95536,0.28759,1.213,0,0.000978545,0.000978545,0.000978545
9,403.054,0.24641,0.47149,0.16191,0.78369,0,0.9869,0.98887,0.98994,0.8567,0.97933,0.98123,0.9826,0.75088,0.62288,1.91827,0.28696,1.19276,0,0.00097548,0.00097548,0.00097548
10,444.476,0.2436,0.46553,0.16103,0.78283,0,0.98641,0.98852,0.99103,0.85358,0.97866,0.98079,0.98329,0.74657,0.64645,1.91918,0.29836,1.20111,0,0.000972415,0.000972415,0.000972415
11,486.043,0.24459,0.47092,0.16194,0.78107,0,0.98529,0.98867,0.98981,0.85084,0.97668,0.97991,0.98012,0.73998,0.63956,1.97232,0.29557,1.21011,0,0.00096935,0.00096935,0.00096935
12,527.633,0.24942,0.47796,0.16414,0.78315,0,0.98498,0.98805,0.98992,0.85269,0.97671,0.97965,0.98122,0.74245,0.6369,1.98806,0.29128,1.21126,0,0.000966285,0.000966285,0.000966285
13,569.228,0.26269,0.49475,0.16776,0.78752,0,0.98581,0.98852,0.99073,0.85499,0.97795,0.98062,0.98263,0.74882,0.62843,1.90527,0.28941,1.19071,0,0.00096322,0.00096322,0.00096322
14,610.817,0.25878,0.49524,0.16637,0.78612,0,0.98489,0.98879,0.99011,0.85501,0.97689,0.98092,0.98185,0.74604,0.62659,1.84454,0.28767,1.18995,0,0.000960155,0.000960155,0.000960155
15,652.32,0.26196,0.49071,0.16686,0.78882,0,0.9862,0.98767,0.99008,0.85192,0.97837,0.97969,0.982,0.7435,0.6394,1.86213,0.28983,1.19715,0,0.00095709,0.00095709,0.00095709
16,693.85,0.25237,0.48126,0.16387,0.78524,0,0.9857,0.98879,0.98986,0.85223,0.978,0.98078,0.98183,0.73924,0.63671,1.99244,0.28931,1.19806,0,0.000954025,0.000954025,0.000954025
17,735.329,0.25282,0.47404,0.16402,0.78224,0,0.98551,0.98809,0.98983,0.85448,0.9774,0.98031,0.98189,0.74693,0.62394,1.91179,0.2898,1.1991,0,0.00095096,0.00095096,0.00095096
18,776.87,0.2591,0.48636,0.16496,0.78598,0,0.98572,0.98895,0.99008,0.85366,0.97885,0.98166,0.98268,0.75066,0.6289,1.8985,0.29187,1.18619,0,0.000947895,0.000947895,0.000947895
