Class,FDI,Dice_IoU50,IoU_IoU50,Precision_det_IoU50,Recall_det_IoU50,F1_det_IoU50,Dice_IoU75,IoU_IoU75,Precision_det_IoU75,Recall_det_IoU75,F1_det_IoU75,Num_Instances
0,11,0.8983,0.8189,1.0000,0.9881,0.9940,0.9168,0.8475,1.0000,0.8175,0.8996,252
1,12,0.9099,0.8377,1.0000,0.9765,0.9881,0.9244,0.8604,1.0000,0.8471,0.9172,255
2,13,0.8921,0.8091,1.0000,0.9800,0.9899,0.9148,0.8441,1.0000,0.7600,0.8636,250
3,14,0.9061,0.8310,1.0000,0.9834,0.9916,0.9191,0.8514,1.0000,0.8506,0.9193,241
4,15,0.9115,0.8396,1.0000,1.0000,1.0000,0.9208,0.8541,1.0000,0.9068,0.9511,236
5,16,0.9132,0.8425,1.0000,1.0000,1.0000,0.9222,0.8568,1.0000,0.9113,0.9536,248
6,17,0.9083,0.8353,1.0000,0.9822,0.9910,0.9240,0.8599,1.0000,0.8402,0.9132,169
7,18,0.9091,0.8359,1.0000,0.9882,0.9941,0.9199,0.8528,1.0000,0.8824,0.9375,255
8,21,0.9055,0.8300,1.0000,0.9842,0.9920,0.9177,0.8492,1.0000,0.8656,0.9280,253
9,22,0.9074,0.8330,1.0000,0.9844,0.9922,0.9178,0.8493,1.0000,0.8794,0.9358,257
10,23,0.8920,0.8085,1.0000,0.9837,0.9918,0.9119,0.8391,1.0000,0.7878,0.8813,245
11,24,0.9054,0.8297,1.0000,0.9879,0.9939,0.9170,0.8478,1.0000,0.8704,0.9307,247
12,25,0.9178,0.8497,1.0000,0.9959,0.9979,0.9231,0.8582,1.0000,0.9378,0.9679,241
13,26,0.9175,0.8495,1.0000,0.9960,0.9980,0.9245,0.8607,1.0000,0.9194,0.9580,248
14,27,0.9131,0.8429,1.0000,1.0000,1.0000,0.9234,0.8588,1.0000,0.9116,0.9538,181
15,28,0.8871,0.8004,1.0000,0.9764,0.9880,0.9065,0.8301,1.0000,0.7717,0.8711,254
16,31,0.8960,0.8160,1.0000,0.9922,0.9961,0.9172,0.8481,1.0000,0.8171,0.8994,257
17,32,0.9104,0.8383,1.0000,0.9883,0.9941,0.9218,0.8559,1.0000,0.8867,0.9400,256
18,33,0.9032,0.8268,1.0000,0.9882,0.9941,0.9181,0.8497,1.0000,0.8627,0.9263,255
19,34,0.9134,0.8433,1.0000,0.9879,0.9939,0.9248,0.8612,1.0000,0.8866,0.9399,247
20,35,0.9367,0.8829,1.0000,1.0000,1.0000,0.9418,0.8908,1.0000,0.9640,0.9817,222
21,36,0.9370,0.8832,1.0000,0.9959,0.9980,0.9400,0.8878,1.0000,0.9755,0.9876,245
22,37,0.9276,0.8670,1.0000,0.9945,0.9973,0.9344,0.8777,1.0000,0.9344,0.9661,183
23,38,0.8866,0.8001,1.0000,0.9922,0.9961,0.9094,0.8347,1.0000,0.7734,0.8722,256
24,41,0.8985,0.8185,1.0000,0.9922,0.9961,0.9129,0.8409,1.0000,0.8392,0.9126,255
25,42,0.9091,0.8359,1.0000,0.9961,0.9981,0.9198,0.8526,1.0000,0.8872,0.9402,257
26,43,0.9087,0.8354,1.0000,0.9881,0.9940,0.9220,0.8563,1.0000,0.8611,0.9254,252
27,44,0.9064,0.8324,1.0000,1.0000,1.0000,0.9236,0.8591,1.0000,0.8381,0.9119,247
28,45,0.9330,0.8768,1.0000,1.0000,1.0000,0.9395,0.8868,1.0000,0.9534,0.9761,236
29,46,0.9316,0.8741,1.0000,1.0000,1.0000,0.9367,0.8821,1.0000,0.9551,0.9770,245
30,47,0.9245,0.8618,1.0000,1.0000,1.0000,0.9334,0.8760,1.0000,0.9218,0.9593,179
