Class,FDI,Dice_IoU50,IoU_IoU50,Precision_det_IoU50,Recall_det_IoU50,F1_det_IoU50,Dice_IoU75,IoU_IoU75,Precision_det_IoU75,Recall_det_IoU75,F1_det_IoU75,Num_Instances
0,11,0.9209,0.8566,0.9884,0.9961,0.9922,0.9326,0.8749,0.8953,0.9023,0.8988,256
1,12,0.9087,0.8365,0.9921,0.9960,0.9941,0.9278,0.8664,0.8261,0.8294,0.8277,252
2,13,0.9163,0.8487,0.9844,0.9882,0.9863,0.9297,0.8698,0.8711,0.8745,0.8728,255
3,14,0.9099,0.8375,0.9801,0.9840,0.9820,0.9227,0.8576,0.8606,0.8640,0.8623,250
4,15,0.9156,0.8468,0.9754,0.9876,0.9814,0.9253,0.8620,0.8852,0.8963,0.8907,241
5,16,0.9228,0.8589,0.9873,0.9873,0.9873,0.9302,0.8703,0.9280,0.9280,0.9280,236
6,17,0.9204,0.8545,0.9802,0.9960,0.9880,0.9277,0.8662,0.9048,0.9194,0.9120,248
7,18,0.9162,0.8479,0.9708,0.9822,0.9765,0.9268,0.8647,0.8713,0.8817,0.8765,169
8,21,0.9220,0.8579,0.9883,0.9961,0.9922,0.9309,0.8719,0.9105,0.9176,0.9141,255
9,22,0.9149,0.8459,0.9921,0.9960,0.9941,0.9246,0.8610,0.9094,0.9130,0.9112,253
10,23,0.9174,0.8501,0.9922,0.9961,0.9942,0.9278,0.8664,0.9031,0.9066,0.9049,257
11,24,0.9070,0.8332,0.9720,0.9918,0.9818,0.9237,0.8590,0.8240,0.8408,0.8323,245
12,25,0.9159,0.8474,0.9799,0.9879,0.9839,0.9255,0.8625,0.8956,0.9028,0.8992,247
13,26,0.9255,0.8628,0.9836,0.9959,0.9897,0.9286,0.8679,0.9549,0.9668,0.9608,241
14,27,0.9254,0.8628,0.9920,1.0000,0.9960,0.9304,0.8709,0.9400,0.9476,0.9438,248
15,28,0.9222,0.8576,0.9784,1.0000,0.9891,0.9276,0.8662,0.9243,0.9448,0.9344,181
16,31,0.9017,0.8242,0.9803,0.9803,0.9803,0.9179,0.8493,0.8228,0.8228,0.8228,254
17,32,0.9053,0.8308,0.9922,0.9922,0.9922,0.9228,0.8579,0.8405,0.8405,0.8405,257
18,33,0.9222,0.8579,0.9883,0.9922,0.9903,0.9305,0.8711,0.9144,0.9180,0.9162,256
19,34,0.9186,0.8522,0.9765,0.9765,0.9765,0.9292,0.8688,0.8863,0.8863,0.8863,255
20,35,0.9233,0.8600,0.9799,0.9879,0.9839,0.9307,0.8715,0.9157,0.9231,0.9194,247
21,36,0.9463,0.8990,0.9909,0.9775,0.9841,0.9463,0.8990,0.9909,0.9775,0.9841,222
22,37,0.9440,0.8954,0.9757,0.9837,0.9797,0.9479,0.9017,0.9433,0.9510,0.9472,245
23,38,0.9318,0.8741,0.9734,1.0000,0.9865,0.9369,0.8824,0.9255,0.9508,0.9380,183
24,41,0.8974,0.8172,0.9767,0.9844,0.9805,0.9140,0.8427,0.8295,0.8359,0.8327,256
25,42,0.9123,0.8410,0.9767,0.9843,0.9805,0.9216,0.8558,0.8833,0.8902,0.8867,255
26,43,0.9202,0.8545,0.9961,0.9961,0.9961,0.9283,0.8672,0.9261,0.9261,0.9261,257
27,44,0.9224,0.8579,0.9686,0.9802,0.9744,0.9294,0.8692,0.9020,0.9127,0.9073,252
28,45,0.9228,0.8588,0.9880,0.9960,0.9919,0.9288,0.8682,0.9398,0.9474,0.9435,247
29,46,0.9447,0.8961,0.9750,0.9915,0.9832,0.9458,0.8979,0.9667,0.9831,0.9748,236
30,47,0.9415,0.8907,0.9719,0.9878,0.9798,0.9437,0.8942,0.9518,0.9673,0.9595,245
31,48,0.9332,0.8764,0.9944,0.9888,0.9916,0.9375,0.8831,0.9551,0.9497,0.9524,179
